src_id,zh,vi
14,直到他注意到双侧全膝关节置换术留下的疤痕，25岁时，外科医生称之为全侧室,"Cho đến khi anh ấy nhận thấy những vết sẹo từ việc thay khớp gối toàn phần hai bên, ở tuổi 25, bác sĩ phẫu thuật gọi đó là thay toàn bộ khoang bên."
15,退化程度堪比退役的足球运动员。,Sự thoái hóa giống như của một cầu thủ bóng đá đã nghỉ hưu.
15,我从 22 年 11 月开始服用低剂量的免疫抑制剂，一直服用到极限，然后脑雾就开始显现。,Tôi bắt đầu dùng một liều thấp thuốc ức chế miễn dịch ở mức tối đa vào tháng 11 năm 2022 và sương mù bắt đầu xuất hiện.
16,雾和疲劳是有区别的。,Có sự khác biệt giữa sương mù và mệt mỏi.
16,有一半的时间我可以服用莫达非尼再做一次，但后来我崩溃了，我需要几天时间来恢复。,"Nửa thời gian tôi có thể làm lại điều này với Modafinil, nhưng sau đó tôi sụp đổ và tôi cần vài ngày để phục hồi."
17,我在卡罗来纳州的第四天。,Ngày thứ tư của tôi ở Carolina.
18,当我回到家，没有得到丈夫的帮助打包晚餐，我才意识到它正在起作用。,Tôi nhận ra nó đang hoạt động khi tôi về nhà và không được chồng giúp đóng gói bữa tối vào đĩa của mình.
20,在雾中航行也容易得多。,Cũng dễ dàng hơn để điều hướng từ bên trong sương mù.
20,幸运的是，我最近的进展并非昙花一现，但任何事物都有两面性。,"May mắn thay, tiến độ gần đây của tôi không phải là ngắn ngủi, nhưng mọi thứ đều có hai mặt."
21,在波斯尼亚人之外的生活，我敏锐地感受到这一点。,"Cuộc sống bên ngoài những người Bosnia, tôi cảm nhận rất rõ."
22,我深深地意识到我的疼痛和慢性疼痛会导致慢性疲劳。,Tôi nhận thức sâu sắc về nỗi đau của tôi và chứng đau mãn tính gây ra mệt mỏi mãn tính.
22,我很幸运，30 年的摸索让我和我大部分家人学到了教训，,"Tôi may mắn, 30 năm thử nghiệm và sai lầm đã dạy tôi và phần lớn gia đình tôi,"
23,因为这占据了我大部分的家庭，包括我的孩子们，他们仍然没有得到他们应得的母亲，如何平衡我的症状和我的其他生活。,"bởi vì nó chiếm phần lớn gia đình tôi, bao gồm cả những đứa con của tôi, những người vẫn chưa có được người mẹ mà chúng xứng đáng, làm sao để cân bằng các triệu chứng của tôi với phần còn lại của cuộc sống."
24,虽然很痛苦，但我现在很幸运，比以往任何时候都更幸运，可以从迷雾中学习到的关于中枢神经系统症状管理的知识。,"Dù đau đớn thế nào, tôi may mắn bây giờ, hơn bao giờ hết, để áp dụng những gì tôi đã học được về quản lý triệu chứng CNS từ bên ngoài sương mù."
25,请将这句话作为制定 ME/CFS 研究路线图的指南。,Hãy lấy câu này làm kim chỉ nam khi định nghĩa lộ trình nghiên cứu ME/CFS.
26,我绝非健康，,"Tôi không hề khỏe mạnh,"
27,但我现在是我有史以来最健康的时候，我40岁，妻子，母亲，从1995年开始，我是一名全职的慢性疲劳综合征患者。,"Nhưng tôi khỏe mạnh nhất từ trước đến nay, tôi 40 tuổi, một người vợ, một người mẹ và kể từ năm 1995, một bệnh nhân ME/CFS toàn thời gian."
28,谢谢。,Cảm ơn bạn.
28,贾里德·扬格：谢谢你，特里莎。,"Jarred Younger: Cảm ơn bạn, Trisha."
28,我不知道每个人都能听到我,Tôi không biết liệu mọi người có thể nghe tôi hay không.
29,我听说我的 Zoom 运行得不太好。,Tôi nghe nói Zoom của tôi không hoạt động tốt lắm.
29,我希望现在运行得更好了。,Tôi hy vọng nó hoạt động tốt hơn bây giờ.
29,如果没有，我会想办法解决这个问题。,"Nếu không, tôi sẽ tìm cách giải quyết vấn đề đó."
30,但到目前为止看起来好多了。,Nhưng nó trông tốt hơn cho đến nay.
30,非常感谢。,Cảm ơn bạn rất nhiều.
30,我想介绍下一位发言者 Gudrun Lange，Gudrun 是一位临床神经心理学家。,"Tôi muốn giới thiệu người nói tiếp theo, Gudrun Lange, và Gudrun là một nhà tâm lý thần kinh lâm sàng."
31,她在纽约的疲劳疼痛研究中心。,Cô ấy đang ở Trung tâm Nghiên cứu về Đau Mệt mỏi ở New York.
31,在认知方面，存在着大量的临床和科学上的困惑和误解。,"Có rất nhiều sự nhầm lẫn về mặt lâm sàng và khoa học, và hiểu sai khi nói đến nhận thức."
32,但有时在我看来，认知是最不被理解的，因此我,"Nhưng đôi khi, tôi cảm thấy như nó là phần ít được hiểu nhất, vì vậy tôi"
33,我很高兴古德伦能成为所有混乱中的光明。,Tôi rất vui vì Gudrun có thể là ánh sáng trong mọi sự hỗn loạn.
33,每次我遇到一个团队开始随意地将认知测量纳入他们正在做的事情时。,Mỗi khi tôi bắt gặp một nhóm bắt đầu kết hợp ngẫu nhiên các biện pháp nhận thức vào những gì họ đang làm.
34,这都是你的。,Nó là của bạn.
35,古德伦·朗格：非常感谢你，贾里德，也感谢你，特里莎，你分享了你的亲身经历，因为它触及了,"Gudrun Lange: Cảm ơn rất nhiều Jarred, và cảm ơn rất nhiều Trisha, vì báo cáo của bạn về trải nghiệm thực tế bởi vì nó khai thác"
37,我今天要谈论的是关于s认知功能的当前知识现状以及知识差距。,Điều tôi sẽ nói về ngày hôm nay là tình trạng của kiến thức hiện tại về chức năng nhận thức trong s và những khoảng trống trong kiến thức.
38,但事实证明，我将主要讨论将认知评估纳入临床试验设计。,Nhưng hóa ra tôi sẽ chủ yếu nói về việc bao gồm đánh giá nhận thức trong thiết kế thử nghiệm lâm sàng.
40,科尔多瓦没有丰富的精神神经学研究史，大约有40年的历史，但其中25年左右一直存在。,"Cordova không có lịch sử nghiên cứu tâm lý thần kinh phong phú, khoảng 40 năm, nhưng 25 năm trong số đó đã tồn tại,"
41,它主要集中在,Nó chủ yếu tập trung vào
42,正如特丽莎之前描述的那样，一个复杂的信息处理和高效的信息处理。,"Một quá trình xử lý thông tin phức tạp và một quá trình xử lý thông tin hiệu quả, như Trisha đã mô tả rất tốt trước đó."
43,它被认为与致残一样严重。,Nó được coi là nghiêm trọng như khuyết tật.
43,事实上，在很早的时候，莱尼·杰森就估计，大约 89% 的 ME/CFS 患者的认知功能会受到影响。,"Trên thực tế, rất sớm, Lenny Jason đã ước tính rằng chức năng nhận thức bị ảnh hưởng ở khoảng 89% bệnh nhân ME/CFS."
44,他们最常感受到的缺陷被描述为记忆力和注意力问题。,Những khiếm khuyết mà họ nhận thấy thường xuyên nhất được mô tả là các vấn đề về trí nhớ và tập trung.
44,我会稍微深入地谈谈这一点。,Tôi sẽ đi sâu vào vấn đề đó một chút.
45,下一张幻灯片，请。,"Trang chiếu tiếp theo, làm ơn."
45,当我回顾文献时，我很快就意识到，我为这次演讲准备了很多内容。,"Khi tôi xem lại tài liệu, tôi nhanh chóng nhận ra rằng tôi đã đảm nhận quá nhiều cho bài thuyết trình này."
46,令我惊讶的是，认知评估在临床试验设计中并不经常使用。,Tôi ngạc nhiên khi nhận thấy rằng các đánh giá nhận thức không được sử dụng thường xuyên trong thiết kế thử nghiệm lâm sàng.
47,尽管我们知道它们是真实的，它们不是抑郁症的表现，,"Mặc dù chúng ta biết rằng chúng là có thật, rằng chúng không phải là biểu hiện của rối loạn trầm cảm,"
48,它们是真实的。,Chúng là có thật.
49,它们不是由于战争努力，没有动力在认知任务上做得很好。,"Chúng không phải do nỗ lực chiến tranh, không có động lực để làm tốt các nhiệm vụ nhận thức."
49,它们是真正的缺陷，会影响生活。,Chúng là một khiếm khuyết thực sự và ảnh hưởng đến cuộc sống.
50,下一张幻灯片，请。,"Trang chiếu tiếp theo, làm ơn."
50,我将简要介绍患者报告的认知功能障碍测量方法，并提出最佳方法。,Tôi sẽ nói ngắn gọn về các biện pháp đo lường rối loạn nhận thức được báo cáo bởi bệnh nhân và đưa ra phương pháp tốt nhất.
51,大多数解决认知功能的管理者，ME/CFS 研究和试验试图不成为患者报告的结果指标（PROs）。,"Hầu hết các nhà quản lý giải quyết chức năng nhận thức, các nghiên cứu và thử nghiệm về ME/CFS cố gắng không phải là các biện pháp kết quả do bệnh nhân báo cáo, còn được gọi là PRO."
52,我这里有一个关于患者报告的结果测量的简短清单，这些测量指标经常用于临床试验。,"Tôi có một danh sách ngắn ở đây về các biện pháp kết quả do bệnh nhân báo cáo, thường được sử dụng trong các thử nghiệm lâm sàng."
53,前三个是特定于任何 ME/CFS 的，其余的则不是特定于 ME/CFS 的。,Ba cái đầu tiên là dành riêng cho bất kỳ ME/CFS nào và phần còn lại không dành riêng cho ME/CFS.
53,SF-36 几乎应用于大多数临床试验，,"SF-36 được sử dụng khá nhiều trong hầu hết các thử nghiệm lâm sàng,"
54,但不是作为主要结果指标。,nhưng không phải là kết quả chính.
54,这个清单中缺少的是与功能相关的问卷。,Điều thiếu trong danh sách này là các bảng câu hỏi dành riêng cho chức năng.
55,这不是说它们不可用，而是说它们已经过标准化和规范化。,"Không phải là chúng không có sẵn, mà là chúng đã được chuẩn hóa và tiêu chuẩn hóa."
56,如果您有兴趣了解更多有关我刚刚介绍的工具的使用和有效性参数的信息，,"Nếu bạn muốn tìm hiểu thêm thông tin về việc sử dụng và các thông số hiệu quả của các công cụ mà tôi vừa trình bày,"
57,这是一个非常好的资源。,Đây là một nguồn tài nguyên thực sự tốt.
59,它提供了治疗前后组患者报告的结果测量值的比较，这些测量值已被证明不仅具有统计学意义，,"Nó cung cấp các so sánh giữa nhóm trước và sau điều trị về các biện pháp kết quả do bệnh nhân báo cáo, đã được chứng minh là không chỉ có ý nghĩa thống kê,"
60,但也包括对临床意义的估计，这是一种必须采取的衡量标准。,"nhưng cũng có các ước tính về ý nghĩa lâm sàng, đây là một thước đo phải được tính đến."
61,在报告临床试验数据时，请务必注意这一点，而这往往是缺失的。,"Hãy tính đến điều này khi bạn báo cáo dữ liệu của các thử nghiệm lâm sàng, và điều này thường thiếu."
61,认知功能评估并不常用作,Đánh giá chức năng nhận thức không được sử dụng phổ biến như
62,主要或甚至共同主要疗效结果指标或功能。,Biện pháp hoặc chức năng kết quả hiệu quả chính hoặc thậm chí đồng chính.
63,总的来说，艾米一开始就存在注意力、集中力和记忆问题，但没有专门针对认知功能障碍的潜在机制。,"Nói chung, Emmy gặp phải các vấn đề về chú ý, tập trung và trí nhớ, nhưng không đặc biệt giải quyết các quá trình tiềm ẩn đằng sau rối loạn nhận thức ngay từ đầu."
64,现在请看下一张幻灯片。,"Bây giờ, hãy xem trang chiếu tiếp theo."
64,毫无疑问，在临床试验中使用患者报告的结果指标是合适的。,Không có nghi ngờ gì rằng việc sử dụng các biện pháp kết quả do bệnh nhân báo cáo trong các thử nghiệm lâm sàng là phù hợp.
65,如果研究问题是错误的，那么个人对认知功能障碍的感知或体验与之前的时间点相比如何？,"Nếu câu hỏi nghiên cứu là sai, nhận thức hoặc trải nghiệm của một cá nhân về rối loạn nhận thức so với một điểm thời gian trước đó là gì?"
66,这个问题反映了人们对认知障碍需要了解什么的一种理解。,Câu hỏi này phản ánh sự thắc mắc về những gì mọi người cần biết về rối loạn nhận thức.
66,认知障碍通常,Rối loạn nhận thức thường
67,正如特里西娅今天早上描述的那样，感知为灾难性的。,Được nhận thức là thảm khốc như Tricia đã mô tả rất rõ ràng vào sáng nay.
67,由于复杂的认知过程受到影响，,"Khi các quá trình nhận thức phức tạp bị ảnh hưởng,"
68,以前在后台自动运行的。,trước đây chạy tự động trong nền.
68,现在，突然之间它们有,"Bây giờ, đột nhiên chúng có"
69,为了让这个体验更接近现实生活，,"Để làm cho trải nghiệm này thực tế hơn một chút,"
70,自从你18岁以来，,"Kể từ khi bạn 18 tuổi,"
71,我们大多数人学会了开车，所以我们上车，发动汽车，驶出车道，做我们必须做的事情来到达目的地。,"Hầu hết chúng ta đã học lái xe, vì vậy chúng ta lên xe, khởi động xe, ra khỏi đường lái xe và làm những gì chúng ta phải làm để đến nơi chúng ta cần đến."
72,但对于 ME/CFS 患者或患有 ME/CFS 的人来说并非如此。,Nhưng điều đó không đúng với bệnh nhân ME / CFS hoặc những người mắc bệnh ME / CFS.
72,他们现在必须考虑开车时的每一小步。,Họ phải suy nghĩ về mọi bước nhỏ khi lái xe.
73,环境变得更加紧张，对认知功能的影响更大。,Môi trường trở nên căng thẳng hơn nhiều và tác động mạnh mẽ hơn đến chức năng nhận thức.
73,但坐在车里的人也一样。,Nhưng người trong xe cũng vậy.
74,有时他们会自言自语地说：‘我现在必须把转向灯关掉。,"Đôi khi họ mô tả rằng họ đang tự nói chuyện với bản thân, nói: 'Bây giờ tôi phải tắt xi nhan."
74,天哪，这辆车的灯光在哪里，而且完全在里面。,"Ôi, đèn ở đâu trong xe này, và hoàn toàn ở bên trong?"
75,即使他们拥有这辆车很久了？,mặc dù họ đã có chiếc xe này trong một thời gian dài?
75,有些人还是会错过出口。,Một số người bỏ lỡ lối ra.
75,有些人甚至会开车经过自己的家，或者最终,Một số người thậm chí lái xe qua nhà của họ hoặc kết thúc
76,在他们住了很长时间的街区里的一条不同的街道上。,ở một con phố khác trong khu phố mà họ đã sống trong một thời gian dài.
76,这非常令人不安，而且真的很令人伤心。,Điều này thật sự gây khó chịu và thật sự rất buồn.
77,下一张幻灯片，请。,"Trang chiếu tiếp theo, làm ơn."
77,现在我将转向对 ME/CFS 事件中认知功能的客观评估。,Bây giờ tôi sẽ chuyển sang đánh giá khách quan về chức năng nhận thức trong các sự kiện ME/CFS.
77,重要的是，认知功能，而不是认知功能背后的过程。,"Điều quan trọng là chức năng nhận thức, chứ không phải các quá trình nằm dưới chức năng nhận thức."
78,但是，认知功能障碍是少数几个可以客观量化的 ME/CFS 症状之一，可以使用有效且可靠的心理测量方法进行量化。,"Nhưng rối loạn nhận thức là một trong số ít các triệu chứng của ME/CFS có thể được định lượng khách quan, bằng phương pháp tâm lý với các biện pháp hợp lệ và đáng tin cậy."
79,为什么我们不经常看到它？,Tại sao chúng ta không thấy nó thường xuyên hơn?
80,他们考虑了 500 项试验，但只有 52 项符合资格标准进行审查。,"Họ đã xem xét 500 thử nghiệm, nhưng chỉ có 52 thử nghiệm đáp ứng các tiêu chí đủ điều kiện để xem xét."
80,大约 60% 的 RCT 分析采用单个主要结果指标，,"Khoảng 60% các RCT trong phân tích sử dụng một biện pháp kết quả chính duy nhất,"
81,剩余的研究使用了两种或多种共同主要结局指标。,Các nghiên cứu còn lại đã sử dụng hai hoặc nhiều hơn các biện pháp kết quả đồng chính.
81,我对这 52 项试验的回顾发现，只有 11 项 RCT 使用了客观认知指标。,Đánh giá của tôi về 52 thử nghiệm này cho thấy chỉ có 11 RCT sử dụng biện pháp nhận thức khách quan.
82,在诊所面对面进行管理，作为主要结局指标之一，其余 41 项试验中大多数采用的是患者报告的结果。,được quản lý trong phòng khám trực tiếp như một trong những thước đo kết quả chính và phần lớn 41 thử nghiệm còn lại đã sử dụng kết quả do bệnh nhân báo cáo.
83,它们大多数与 ME/CFS 无关。,Hầu hết trong số chúng không đặc hiệu cho ME/CFS.
84,包含的简要措施通常不够敏感。,Các biện pháp ngắn gọn được bao gồm thường không đủ nhạy cảm.
84,对于统计学意义，不要介意临床意义。,"Đối với ý nghĩa thống kê, đừng bận tâm đến ý nghĩa lâm sàng."
84,这是我将在接下来的几张幻灯片中讨论的话题。,Chủ đề mà tôi sẽ đề cập trong vài slide tiếp theo.
86,这是一种我用来评估认知功能的实验室专用测试。,Đó là một trong những thứ đặc biệt của phòng thí nghiệm mà tôi sử dụng để đánh giá chức năng nhận thức.
87,Sebaiti 等人最近的系统评价和荟萃分析提出了一些非常重要的观点。,"Bản tổng quan có hệ thống và phân tích tổng hợp gần đây của Sebaiti et al., đưa ra một số điểm rất quan trọng."
88,他们查看了使用客观认知测量方法的原始病例对照研究，这些研究发表在 1988 年 1 月至 2019 年 2 月期间。,"Họ đã xem xét các nghiên cứu nghiên cứu trường hợp kiểm soát ban đầu sử dụng các biện pháp nhận thức khách quan, được xuất bản từ tháng 1 năm 1988 đến tháng 2 năm 2019."
89,所有纳入分析的研究都评估了被临床诊断为 ME/CFS 且已知的成年 ME/CFS 患者。,Tất cả các nghiên cứu được đưa vào phân tích đã đánh giá người lớn bị ME/CFS được chẩn đoán lâm sàng là ME/CFS và được biết đến.
90,神经或精神合并症，并可能使健康成年人患病。,các bệnh lý kèm theo thần kinh hoặc tâm thần và có thể ảnh hưởng đến người lớn khỏe mạnh.
90,该小组应用了严格的统计标准,Nhóm nghiên cứu đã áp dụng các tiêu chí thống kê nghiêm ngặt
91,我很高兴看到其中包含以下内容。,Tôi rất vui khi thấy rằng nó bao gồm những điều sau.
91,正在调查的措施必须至少在两项研究中使用过。,Các biện pháp đang được điều tra phải được sử dụng trong ít nhất hai nghiên cứu.
91,这很重要，因为很难进行比较,Điều này rất quan trọng vì rất khó để so sánh
92,ME/CFS 组和对照组之间的差异需要是,Sự khác biệt giữa nhóm ME / CFS và nhóm đối chứng cần phải là
93,统计学意义在P值为0.05的水平上，并且必须至少伴随0.5的中等等待效应量。,"Ý nghĩa thống kê ở mức P 0,05 và phải được đi kèm, ít nhất là với một kích thước hiệu ứng chờ đợi vừa phải là 0,5."
95,P 值为 0.05 意味着，对研究样本中 95% 的样本而言，组均值之间的比较是适用的。,"Giá trị p là 0,05 chỉ đơn giản ngụ ý rằng một so sánh giữa các giá trị trung bình của nhóm có thể áp dụng cho 95% mẫu nghiên cứu."
96,根据 Cohen 定义的组间效应量计算结果，可以反映效应的大小或程度，即差异的大小。,"Kích thước hiệu ứng được tính toán giữa các nhóm, như được định nghĩa bởi Cohen, cho biết cường độ hoặc kích thước của hiệu ứng như sự khác biệt."
97,组间差异实际上具有实际或临床意义。,Sự khác biệt giữa các nhóm thực sự có ý nghĩa thực tế hoặc lâm sàng.
97,为了确定这一点，科恩以如下方式定义效应量：,"Để xác định điều đó, Cohen định nghĩa kích thước hiệu ứng theo cách sau:"
98,0.2 是一个小的可忽略不计的效果量，0.5 是一个中等的效果量，,"0.2 là một kích thước hiệu ứng nhỏ không đáng kể, 0.5 là một kích thước hiệu ứng trung bình và"
99,通常被认为是治疗试验的最低门槛。,thường được coi là ngưỡng tối thiểu trong các thử nghiệm điều trị.
99,效应量为 0.8 或更大被认为是较大且非常稳健的。,"Kích thước hiệu ứng 0,8 trở lên được coi là lớn và thực sự mạnh mẽ."
99,由于计算的效应量是标准化指标，例如，,"Vì kích thước hiệu ứng được tính toán là các phép đo tiêu chuẩn hóa, ví dụ,"
100,效应量为 0.5 等于样本量无关的半个标准差。,"Kích thước hiệu ứng bằng 0,5 tương đương với một nửa độ lệch chuẩn, độc lập với kích thước mẫu."
101,虽然人们对科恩效应量存在批评，但在我的观点中，至少它们提供了一个评估临床意义的框架。,"Có những lời chỉ trích về kích thước hiệu ứng của Cohen, nhưng trong cuốn sách của tôi, ít nhất chúng cung cấp một khuôn khổ để đánh giá ý nghĩa lâm sàng."
102,下一张幻灯片，请。,"Trang chiếu tiếp theo, làm ơn."
103,我将重点关注接下来三张幻灯片中提供的信息要点。,Tôi sẽ tập trung vào ý chính của thông tin được cung cấp trong ba trang chiếu tiếp theo.
103,它们都涉及到获得的具有临床意义的改变。,Tất cả đều đề cập đến những thay đổi có ý nghĩa lâm sàng đã đạt được.
104,每个幻灯片上列出的传统神经心理学指标都与认知功能障碍和慢性疲劳综合征（ME/CFS）相关的领域有关。,Các biện pháp thần kinh tâm lý truyền thống được liệt kê trên mỗi trang chiếu trong các lĩnh vực liên quan đến rối loạn nhận thức và ME/CFS.
105,在 NAART 测量的总体智力功能领域中，对 ME/CFS 和对照组的任务进行敲击,"giữa ME/CFS và đối chứng về các nhiệm vụ, chạm vào các lĩnh vực của chức năng trí tuệ tổng thể được đo bằng NAART"
106,以及 WAIS R 子测验，以测试言语理解能力。,cũng như các bài kiểm tra phụ WAIS R khai thác sự hiểu biết bằng lời nói.
107,在没有时间限制的情况下进行概念化和战略规划的能力，以及我们所说的工具性功能，专注于语言技能、视觉功能和计算能力。,"Khả năng hình thành khái niệm và lập chiến lược mà không bị ràng buộc bởi thời gian, và sau đó là những gì chúng ta gọi là các chức năng dụng cụ tập trung vào kỹ năng ngôn ngữ, chức năng thị giác và khả năng tính toán."
108,在我看来，这些都是重要的阴性发现，因为它们证实了特别是没有动态子成分的智力功能，,"Theo tôi, đây là những phát hiện tiêu cực quan trọng vì chúng khẳng định rằng đặc biệt là các chức năng trí tuệ không có thành phần phụ động,"
109,但一生积累的症状很可能在 ME/CFS 中是正常的。,Nhưng các triệu chứng thu được trong suốt cuộc đời có khả năng là bình thường ở ME/CFS.
109,并不意味着它表明神经退行性疾病的可能性很低。,Điều này không có nghĩa là khả năng nó báo hiệu một quá trình thoái hóa thần kinh là khá thấp.
110,了解认知优势很重要，因为它有助于突出认知弱点。,Điều quan trọng là phải biết về sức mạnh nhận thức vì điều đó giúp làm nổi bật điểm yếu nhận thức.
110,在我看来，应该包括对总体智力功能的评估。,"Theo ý kiến ​​của tôi, nên đưa vào ước tính chức năng trí tuệ tổng thể"
111,在每个针对认知功能的临床试验 RCT 中。,trong mỗi thử nghiệm lâm sàng RCT giải quyết chức năng nhận thức.
111,这些测试很快。,Những bài kiểm tra này nhanh chóng.
112,并且可以远程管理。,và có thể được quản lý từ xa.
112,下一张幻灯片，请。,"Trang chiếu tiếp theo, làm ơn."
112,现在进入更简单的，甚至更复杂的反应时间和运动协调速度,"Bây giờ bước vào phản ứng đơn giản hơn, thậm chí là phản ứng phức tạp hơn và tốc độ phối hợp chuyển động của động cơ"
113,不幸的是，一些简单的任务被使用,"Thật không may, một số nhiệm vụ đơn giản được sử dụng"
114,作为试验结果指标，它们不太有信息量，所以我不会推荐使用任何一个，特别是作为主要结果指标。,"Là những biện pháp kết quả thử nghiệm, chúng không cung cấp nhiều thông tin, vì vậy tôi sẽ không khuyến nghị sử dụng bất kỳ biện pháp nào trong số chúng, đặc biệt là như một biện pháp kết quả chính."
115,古德伦·兰格：谢谢。,Gudrun Lange: Cảm ơn bạn.
116,在以下领域的研究中，可变性较低：持续和分散注意力（包括工作记忆和速度成分），反映了多任务处理。,"Sự biến đổi thấp giữa các nghiên cứu trong các lĩnh vực sau: chú ý liên tục và phân chia với các thành phần bộ nhớ làm việc và tốc độ, phản ánh đa nhiệm."
117,患有 ME/CFS 的患者或病人面临的首要问题。,Vấn đề số 1 đối với bệnh nhân hoặc người bị ME/CFS.
117,这里使用的测试是持续性表现,Các xét nghiệm được sử dụng ở đây là xét nghiệm hiệu suất liên tục
118,测试和条件是他们数字的测试，没有干扰，以及节律性听觉序列注意测试。,Bài kiểm tra và các điều kiện là các con số dành cho họ mà không có sự phân tâm cũng như các bài kiểm tra chú ý tuần tự thính giác theo nhịp độ.
119,该测试有几个版本，其中一个版本包含四个条件，从非常快的刺激间隔到更长的刺激间隔。,Phiên bản với bốn điều kiện đi từ khoảng thời gian liên kích thích rất nhanh đến khoảng thời gian liên kích thích dài hơn.
120,这是我们能给你中等效应量的那个。,Đây là cái mà chúng tôi sẽ cung cấp cho bạn một kích thước hiệu ứng trung bình.
120,另一个有可靠发现的领域是,Một lĩnh vực khác có những phát hiện vững chắc là
121,另一个令人感兴趣的领域，也是 ME/CFS 影响到的领域，就是处理速度，比如符号数字模态测试或 WAIS 编码测试。,"Một lĩnh vực khác thu hút sự chú ý và bị ảnh hưởng trong ME/CFS là tốc độ xử lý, ví dụ như Kiểm tra Biểu tượng Kỹ thuật số hoặc Kiểm tra Mã hóa WAIS."
122,这是最常用的方法。,Đây là phương pháp được sử dụng phổ biến nhất cho việc đó.
122,然后我们进入记忆缺陷的领域，继续进行。,"Sau đó, chúng ta đi đến lĩnh vực của sự suy giảm trí nhớ và tiếp tục."
123,在 ME/CFS 中，记忆力的表现下降，这最常见的原因是编码和学习新信息方面的困难。,Suy giảm trí nhớ trong ME/CFS thường là do những khó khăn trong việc mã hóa và học hỏi thông tin mới.
124,当患者报告他们有记忆问题时，,"Khi bệnh nhân báo cáo rằng họ gặp vấn đề về trí nhớ,"
125,他们报告它是因为他们无法记住他们应该吸收但没有吸收的所有信息。,Họ báo cáo điều đó bởi vì họ không thể nhớ tất cả thông tin mà họ được cho là phải hấp thụ nhưng không hấp thụ được.
125,但你只能回忆起你编码的信息。,Nhưng bạn chỉ có thể nhớ lại những thông tin mà bạn mã hóa nó.
126,如果你没有编码它，你就不会记得它。,"Nếu bạn không mã hóa nó, bạn sẽ không nhớ nó."
126,但它们不会忘记信息。,Nhưng chúng không quên thông tin.
126,关于这个就足够了。,Đủ về điều đó.
